company_id,krx_code,canonical_name,bounded_window_start,bounded_window_end,source_ca_flag_field_present,adjustment_factor_field_present,source_verified_pre_cutoff_ca_record_recovered,price_jump_gt30_count,stocks_jump_ge5_count,max_abs_close_change_pct,max_abs_close_change_date,max_abs_stocks_change_pct,max_abs_stocks_change_date,max_missing_market_dates_run,max_zero_volume_dates_run,disposition,heuristic_observation_evidence
KRX:281820,281820,케이씨텍,2024-05-16,2024-08-09,false,false,false,0,0,12.992126,2024-08-05,0.000000,2024-05-16,0,0,NO_HEURISTIC_TRIGGER_IN_TESTED_WINDOW__CA_ABSENCE_NOT_PROVEN,
KRX:319660,319660,PSK,2024-05-16,2024-08-09,false,false,false,0,0,11.690363,2024-08-02,0.000000,2024-05-16,0,0,NO_HEURISTIC_TRIGGER_IN_TESTED_WINDOW__CA_ABSENCE_NOT_PROVEN,
KRX:074600,074600,원익QnC,2024-05-16,2024-08-09,false,false,false,0,0,15.677966,2024-06-07,0.000000,2024-05-16,0,0,NO_HEURISTIC_TRIGGER_IN_TESTED_WINDOW__CA_ABSENCE_NOT_PROVEN,
KRX:104830,104830,원익머트리얼즈,2024-05-16,2024-08-09,false,false,false,0,0,9.106239,2024-08-05,0.000000,2024-05-16,0,0,NO_HEURISTIC_TRIGGER_IN_TESTED_WINDOW__CA_ABSENCE_NOT_PROVEN,
KRX:058470,058470,리노공업,2024-05-16,2024-08-09,false,false,false,0,0,10.770855,2024-08-05,0.000000,2024-05-16,0,0,NO_HEURISTIC_TRIGGER_IN_TESTED_WINDOW__CA_ABSENCE_NOT_PROVEN,
KRX:084370,084370,유진테크,2024-05-16,2024-08-09,false,false,false,0,0,12.808989,2024-08-05,0.000000,2024-05-16,0,0,NO_HEURISTIC_TRIGGER_IN_TESTED_WINDOW__CA_ABSENCE_NOT_PROVEN,
KRX:183300,183300,코미코,2024-05-16,2024-08-09,false,false,false,0,0,10.595065,2024-08-05,0.000000,2024-05-16,0,0,NO_HEURISTIC_TRIGGER_IN_TESTED_WINDOW__CA_ABSENCE_NOT_PROVEN,
KRX:042700,042700,한미반도체,2024-05-16,2024-08-09,false,false,false,0,0,11.091854,2024-08-05,0.355117,2024-05-21,0,0,NO_HEURISTIC_TRIGGER_IN_TESTED_WINDOW__CA_ABSENCE_NOT_PROVEN,
KRX:031980,031980,PSK홀딩스,2024-05-16,2024-08-09,false,false,false,0,0,15.479876,2024-06-07,0.000000,2024-05-16,0,0,NO_HEURISTIC_TRIGGER_IN_TESTED_WINDOW__CA_ABSENCE_NOT_PROVEN,
KRX:166090,166090,하나머티리얼즈,2024-05-16,2024-08-09,false,false,false,0,0,12.859885,2024-06-14,0.000000,2024-05-16,0,0,NO_HEURISTIC_TRIGGER_IN_TESTED_WINDOW__CA_ABSENCE_NOT_PROVEN,
KRX:095340,095340,ISC,2024-05-16,2024-08-09,false,false,false,0,0,13.251784,2024-08-05,0.000000,2024-05-16,0,0,NO_HEURISTIC_TRIGGER_IN_TESTED_WINDOW__CA_ABSENCE_NOT_PROVEN,
KRX:240810,240810,원익IPS,2024-05-16,2024-08-09,false,false,false,0,0,12.957746,2024-07-04,0.000000,2024-05-16,0,0,NO_HEURISTIC_TRIGGER_IN_TESTED_WINDOW__CA_ABSENCE_NOT_PROVEN,
KRX:083450,083450,GST,2024-05-16,2024-08-09,false,false,false,1,1,50.115473,2024-06-26,99.815084,2024-07-24,0,0,CA_OR_PRICE_DISCONTINUITY_REVIEW_REQUIRED_HEURISTIC_ONLY,2024-06-25_to_2024-06-26_Close_43300_to_21600_raw_minus50.115473pct_provider_ChangesRatio_minus0.46pct|2024-07-23_to_2024-07-24_Stocks_9317745_to_18618260_plus99.815084pct
KRX:140860,140860,파크시스템스,2024-05-16,2024-08-09,false,false,false,0,0,10.329807,2024-07-24,0.067375,2024-06-19,0,0,NO_HEURISTIC_TRIGGER_IN_TESTED_WINDOW__CA_ABSENCE_NOT_PROVEN,
KRX:403870,403870,HPSP,2024-05-16,2024-08-09,false,false,false,0,0,20.102215,2024-08-05,0.000000,2024-05-16,0,0,NO_HEURISTIC_TRIGGER_IN_TESTED_WINDOW__CA_ABSENCE_NOT_PROVEN,
KRX:064760,064760,티씨케이,2024-05-16,2024-08-09,false,false,false,0,0,9.612403,2024-06-14,0.000000,2024-05-16,0,0,NO_HEURISTIC_TRIGGER_IN_TESTED_WINDOW__CA_ABSENCE_NOT_PROVEN,
KRX:357780,357780,솔브레인,2024-05-16,2024-08-09,false,false,false,0,0,11.530815,2024-08-05,0.000000,2024-05-16,0,0,NO_HEURISTIC_TRIGGER_IN_TESTED_WINDOW__CA_ABSENCE_NOT_PROVEN,
KRX:039440,039440,STI,2024-05-16,2024-08-09,false,false,false,0,0,12.989691,2024-08-05,0.000000,2024-05-16,0,0,NO_HEURISTIC_TRIGGER_IN_TESTED_WINDOW__CA_ABSENCE_NOT_PROVEN,
KRX:005290,005290,동진쎄미켐,2024-05-16,2024-08-09,false,false,false,0,0,13.304094,2024-08-05,0.000000,2024-05-16,0,0,NO_HEURISTIC_TRIGGER_IN_TESTED_WINDOW__CA_ABSENCE_NOT_PROVEN,
KRX:101160,101160,월덱스,2024-05-16,2024-08-09,false,false,false,0,0,12.614679,2024-08-05,0.000000,2024-05-16,0,0,NO_HEURISTIC_TRIGGER_IN_TESTED_WINDOW__CA_ABSENCE_NOT_PROVEN,
KRX:036200,036200,유니셈,2024-05-16,2024-08-09,false,false,false,0,0,17.375000,2024-08-05,0.000000,2024-05-16,0,0,NO_HEURISTIC_TRIGGER_IN_TESTED_WINDOW__CA_ABSENCE_NOT_PROVEN,
KRX:092870,092870,엑시콘,2024-05-16,2024-08-09,false,false,false,0,1,20.625663,2024-07-18,20.297181,2024-07-31,0,0,CA_OR_PRICE_DISCONTINUITY_REVIEW_REQUIRED_HEURISTIC_ONLY,2024-07-30_to_2024-07-31_Stocks_10848797_to_13050797_plus20.297181pct
KRX:039030,039030,이오테크닉스,2024-05-16,2024-08-09,false,false,false,0,0,15.008626,2024-07-04,0.000000,2024-05-16,0,0,NO_HEURISTIC_TRIGGER_IN_TESTED_WINDOW__CA_ABSENCE_NOT_PROVEN,
KRX:322310,322310,오로스테크놀로지,2024-05-16,2024-08-09,false,false,false,0,0,20.090293,2024-07-04,0.000000,2024-05-16,0,0,NO_HEURISTIC_TRIGGER_IN_TESTED_WINDOW__CA_ABSENCE_NOT_PROVEN,
KRX:101490,101490,에스앤에스텍,2024-05-16,2024-08-09,false,false,false,0,0,14.840989,2024-08-05,0.000000,2024-05-16,0,0,NO_HEURISTIC_TRIGGER_IN_TESTED_WINDOW__CA_ABSENCE_NOT_PROVEN,
KRX:420770,420770,기가비스,2024-05-16,2024-08-09,false,false,false,0,0,21.111111,2024-08-05,0.000000,2024-05-16,0,0,NO_HEURISTIC_TRIGGER_IN_TESTED_WINDOW__CA_ABSENCE_NOT_PROVEN,
KRX:089030,089030,테크윙,2024-05-16,2024-08-09,false,false,false,0,0,14.724919,2024-07-17,0.000000,2024-05-16,0,0,NO_HEURISTIC_TRIGGER_IN_TESTED_WINDOW__CA_ABSENCE_NOT_PROVEN,
KRX:131970,131970,두산테스나,2024-05-16,2024-08-09,false,false,false,0,0,16.573816,2024-08-05,0.000000,2024-05-16,0,0,NO_HEURISTIC_TRIGGER_IN_TESTED_WINDOW__CA_ABSENCE_NOT_PROVEN,
KRX:272110,272110,케이엔제이,2024-05-16,2024-08-09,false,false,false,0,0,15.462814,2024-08-05,0.000000,2024-05-16,0,0,NO_HEURISTIC_TRIGGER_IN_TESTED_WINDOW__CA_ABSENCE_NOT_PROVEN,
KRX:089970,089970,브이엠,2024-05-16,2024-08-09,false,false,false,0,0,20.776567,2024-06-11,0.396154,2024-06-07,0,0,NO_HEURISTIC_TRIGGER_IN_TESTED_WINDOW__CA_ABSENCE_NOT_PROVEN,
KRX:036810,036810,FST,2024-05-16,2024-08-09,false,false,false,0,0,18.941980,2024-08-05,0.000000,2024-05-16,0,0,NO_HEURISTIC_TRIGGER_IN_TESTED_WINDOW__CA_ABSENCE_NOT_PROVEN,
KRX:264660,264660,씨앤지하이테크,2024-05-16,2024-08-09,false,false,false,0,0,12.414318,2024-08-05,3.337589,2024-05-21,0,0,NO_HEURISTIC_TRIGGER_IN_TESTED_WINDOW__CA_ABSENCE_NOT_PROVEN,
KRX:253590,253590,네오셈,2024-05-16,2024-08-09,false,false,false,0,0,22.210184,2024-06-05,0.000000,2024-05-16,0,0,NO_HEURISTIC_TRIGGER_IN_TESTED_WINDOW__CA_ABSENCE_NOT_PROVEN,
KRX:086390,086390,유니테스트,2024-05-16,2024-08-09,false,false,false,0,0,20.611230,2024-05-21,0.000000,2024-05-16,0,0,NO_HEURISTIC_TRIGGER_IN_TESTED_WINDOW__CA_ABSENCE_NOT_PROVEN,
KRX:348210,348210,넥스틴,2024-05-16,2024-08-09,false,false,false,0,0,17.431193,2024-08-05,0.768880,2024-05-30,0,0,NO_HEURISTIC_TRIGGER_IN_TESTED_WINDOW__CA_ABSENCE_NOT_PROVEN,
KRX:092070,092070,디엔에프,2024-05-16,2024-08-09,false,false,false,0,0,16.689189,2024-08-05,0.000000,2024-05-16,0,0,NO_HEURISTIC_TRIGGER_IN_TESTED_WINDOW__CA_ABSENCE_NOT_PROVEN,
KRX:036930,036930,주성엔지니어링,2024-05-16,2024-08-09,false,false,false,0,0,12.617702,2024-08-05,2.032968,2024-08-05,0,0,NO_HEURISTIC_TRIGGER_IN_TESTED_WINDOW__CA_ABSENCE_NOT_PROVEN,
KRX:417840,417840,저스템,2024-05-16,2024-08-09,false,false,false,0,0,14.792899,2024-08-05,0.000000,2024-05-16,0,0,NO_HEURISTIC_TRIGGER_IN_TESTED_WINDOW__CA_ABSENCE_NOT_PROVEN,
KRX:003160,003160,디아이,2024-05-16,2024-08-09,false,false,false,0,0,15.830116,2024-05-31,0.000000,2024-05-16,0,0,NO_HEURISTIC_TRIGGER_IN_TESTED_WINDOW__CA_ABSENCE_NOT_PROVEN,
KRX:025560,025560,미래산업,2024-05-16,2024-08-09,false,false,false,0,0,17.121588,2024-06-21,2.422283,2024-07-31,0,0,NO_HEURISTIC_TRIGGER_IN_TESTED_WINDOW__CA_ABSENCE_NOT_PROVEN,
KRX:217190,217190,제너셈,2024-05-16,2024-08-09,false,false,false,0,0,19.402985,2024-07-16,0.000000,2024-05-16,0,0,NO_HEURISTIC_TRIGGER_IN_TESTED_WINDOW__CA_ABSENCE_NOT_PROVEN,
KRX:232140,232140,와이씨,2024-05-16,2024-08-09,false,false,false,0,0,29.970972,2024-05-31,0.000000,2024-05-16,0,0,NO_HEURISTIC_TRIGGER_IN_TESTED_WINDOW__CA_ABSENCE_NOT_PROVEN,
