f05_only_provisional_rank,company_id,krx_code,f05_score,recognition_velocity,saturation_penalty,available_feature_weight,feature_coverage_ratio,claim_status,top3_flag,top10_flag
1,KRX:084370,084370,85.00000000000000000000000000,85.53571428571428571428571430,0.53571428571428571428571430,20,0.2,F02_F05_PROVISIONAL_EXPLORATORY_NO_OFFICIAL_TOP_K,false,false
2,KRX:101160,101160,85.00000000000000000000000000,86.07142857142857142857142857,1.07142857142857142857142857,20,0.2,F02_F05_PROVISIONAL_EXPLORATORY_NO_OFFICIAL_TOP_K,false,false
3,KRX:104830,104830,85.00000000000000000000000000,86.60714285714285714285714286,1.60714285714285714285714286,20,0.2,F02_F05_PROVISIONAL_EXPLORATORY_NO_OFFICIAL_TOP_K,false,false
4,KRX:140860,140860,85.00000000000000000000000000,94.28571428571428571428571428,9.28571428571428571428571428,20,0.2,F02_F05_PROVISIONAL_EXPLORATORY_NO_OFFICIAL_TOP_K,false,false
5,KRX:232140,232140,85.00000000000000000000000000,95.00000000000000000000000000,10.00000000000000000000000000,20,0.2,F02_F05_PROVISIONAL_EXPLORATORY_NO_OFFICIAL_TOP_K,false,false
6,KRX:240810,240810,85.00000000000000000000000000,85.00000000000000000000000000,0,20,0.2,F02_F05_PROVISIONAL_EXPLORATORY_NO_OFFICIAL_TOP_K,false,false
7,KRX:327260,327260,79.64285714285714285714285714,79.64285714285714285714285714,0,20,0.2,F02_F05_PROVISIONAL_EXPLORATORY_NO_OFFICIAL_TOP_K,false,false
8,KRX:272110,272110,75.53571428571428571428571428,75.53571428571428571428571428,0,20,0.2,F02_F05_PROVISIONAL_EXPLORATORY_NO_OFFICIAL_TOP_K,false,false
9,KRX:264660,264660,72.50000000000000000000000000,72.50000000000000000000000000,0,20,0.2,F02_F05_PROVISIONAL_EXPLORATORY_NO_OFFICIAL_TOP_K,false,false
10,KRX:095340,095340,71.42857142857142857142857142,71.42857142857142857142857142,0,20,0.2,F02_F05_PROVISIONAL_EXPLORATORY_NO_OFFICIAL_TOP_K,false,false
11,KRX:319660,319660,70.71428571428571428571428572,70.71428571428571428571428572,0,20,0.2,F02_F05_PROVISIONAL_EXPLORATORY_NO_OFFICIAL_TOP_K,false,false
12,KRX:217190,217190,70.35714285714285714285714285,70.35714285714285714285714285,0,20,0.2,F02_F05_PROVISIONAL_EXPLORATORY_NO_OFFICIAL_TOP_K,false,false
13,KRX:357780,357780,70.00000000000000000000000000,70.00000000000000000000000000,0,20,0.2,F02_F05_PROVISIONAL_EXPLORATORY_NO_OFFICIAL_TOP_K,false,false
14,KRX:036810,036810,68.39285714285714285714285715,68.39285714285714285714285715,0,20,0.2,F02_F05_PROVISIONAL_EXPLORATORY_NO_OFFICIAL_TOP_K,false,false
15,KRX:064760,064760,66.60714285714285714285714285,66.60714285714285714285714285,0,20,0.2,F02_F05_PROVISIONAL_EXPLORATORY_NO_OFFICIAL_TOP_K,false,false
16,KRX:159010,159010,66.07142857142857142857142857,66.07142857142857142857142857,0,20,0.2,F02_F05_PROVISIONAL_EXPLORATORY_NO_OFFICIAL_TOP_K,false,false
17,KRX:005290,005290,65.71428571428571428571428571,65.71428571428571428571428571,0,20,0.3,F02_F05_PROVISIONAL_EXPLORATORY_NO_OFFICIAL_TOP_K,false,false
18,KRX:232680,232680,64.82142857142857142857142857,64.82142857142857142857142857,0,20,0.2,F02_F05_PROVISIONAL_EXPLORATORY_NO_OFFICIAL_TOP_K,false,false
19,KRX:074600,074600,64.10714285714285714285714286,64.10714285714285714285714286,0,20,0.2,F02_F05_PROVISIONAL_EXPLORATORY_NO_OFFICIAL_TOP_K,false,false
20,KRX:025560,025560,61.60714285714285714285714285,61.60714285714285714285714285,0,20,0.3,F02_F05_PROVISIONAL_EXPLORATORY_NO_OFFICIAL_TOP_K,false,false
21,KRX:253590,253590,57.85714285714285714285714285,57.85714285714285714285714285,0,20,0.2,F02_F05_PROVISIONAL_EXPLORATORY_NO_OFFICIAL_TOP_K,false,false
22,KRX:058470,058470,56.07142857142857142857142858,56.07142857142857142857142858,0,20,0.2,F02_F05_PROVISIONAL_EXPLORATORY_NO_OFFICIAL_TOP_K,false,false
23,KRX:131290,131290,55.17857142857142857142857143,55.17857142857142857142857143,0,20,0.2,F02_F05_PROVISIONAL_EXPLORATORY_NO_OFFICIAL_TOP_K,false,false
24,KRX:217500,217500,54.64285714285714285714285715,54.64285714285714285714285715,0,20,0.2,F02_F05_PROVISIONAL_EXPLORATORY_NO_OFFICIAL_TOP_K,false,false
25,KRX:446540,446540,53.92857142857142857142857143,53.92857142857142857142857143,0,20,0.2,F02_F05_PROVISIONAL_EXPLORATORY_NO_OFFICIAL_TOP_K,false,false
26,KRX:036930,036930,53.39285714285714285714285714,53.39285714285714285714285714,0,20,0.2,F02_F05_PROVISIONAL_EXPLORATORY_NO_OFFICIAL_TOP_K,false,false
27,KRX:131970,131970,51.25000000000000000000000000,51.25000000000000000000000000,0,20,0.2,F02_F05_PROVISIONAL_EXPLORATORY_NO_OFFICIAL_TOP_K,false,false
28,KRX:183300,183300,50.00000000000000000000000000,50.00000000000000000000000000,0,20,0.2,F02_F05_PROVISIONAL_EXPLORATORY_NO_OFFICIAL_TOP_K,false,false
29,KRX:281820,281820,50.00000000000000000000000000,50.00000000000000000000000000,0,20,0.2,F02_F05_PROVISIONAL_EXPLORATORY_NO_OFFICIAL_TOP_K,false,false
30,KRX:089030,089030,49.99999999999999999999999999,49.99999999999999999999999999,0,20,0.2,F02_F05_PROVISIONAL_EXPLORATORY_NO_OFFICIAL_TOP_K,false,false
31,KRX:039030,039030,45.00000000000000000000000000,45.00000000000000000000000000,0,20,0.2,F02_F05_PROVISIONAL_EXPLORATORY_NO_OFFICIAL_TOP_K,false,false
32,KRX:086390,086390,43.57142857142857142857142858,43.57142857142857142857142858,0,20,0.2,F02_F05_PROVISIONAL_EXPLORATORY_NO_OFFICIAL_TOP_K,false,false
33,KRX:003160,003160,41.07142857142857142857142857,41.07142857142857142857142857,0,20,0.3,F02_F05_PROVISIONAL_EXPLORATORY_NO_OFFICIAL_TOP_K,false,false
34,KRX:095610,095610,40.89285714285714285714285714,40.89285714285714285714285714,0,20,0.2,F02_F05_PROVISIONAL_EXPLORATORY_NO_OFFICIAL_TOP_K,false,false
35,KRX:092870,092870,39.46428571428571428571428572,39.46428571428571428571428572,0,20,0.2,F02_F05_PROVISIONAL_EXPLORATORY_NO_OFFICIAL_TOP_K,false,false
36,KRX:219130,219130,39.10714285714285714285714286,39.10714285714285714285714286,0,20,0.2,F02_F05_PROVISIONAL_EXPLORATORY_NO_OFFICIAL_TOP_K,false,false
37,KRX:031980,031980,39.10714285714285714285714285,39.10714285714285714285714285,0,20,0.3,F02_F05_PROVISIONAL_EXPLORATORY_NO_OFFICIAL_TOP_K,false,false
38,KRX:042700,042700,38.57142857142857142857142857,38.57142857142857142857142857,0,20,0.2,F02_F05_PROVISIONAL_EXPLORATORY_NO_OFFICIAL_TOP_K,false,false
39,KRX:348210,348210,37.67857142857142857142857143,37.67857142857142857142857143,0,20,0.2,F02_F05_PROVISIONAL_EXPLORATORY_NO_OFFICIAL_TOP_K,false,false
40,KRX:166090,166090,37.32142857142857142857142858,37.32142857142857142857142858,0,20,0.2,F02_F05_PROVISIONAL_EXPLORATORY_NO_OFFICIAL_TOP_K,false,false
41,KRX:101490,101490,35.53571428571428571428571429,35.53571428571428571428571429,0,20,0.2,F02_F05_PROVISIONAL_EXPLORATORY_NO_OFFICIAL_TOP_K,false,false
